,feature,importance
110,punting_punt_yds_per_punt_imputed,0.0
109,punting_punt_yds_imputed,0.0
108,punting_punt_imputed,0.0
107,passing_pass_rating_imputed,0.0
90,kicking_xpm_imputed,0.0
89,BMI_imputed,0.0
88,agility_score_imputed,0.0
87,power_density_imputed,0.0
86,burst_score_imputed,0.0
85,speed_score_imputed,0.0
84,bench_imputed,0.0
83,shuttle_imputed,0.0
82,cone_imputed,0.0
81,broad_jump_imputed,0.0
80,vertical_imputed,0.0
79,forty_imputed,0.0
78,BMI_Age_Ratio_imputed,0.0
77,pick_imputed,0.0
70,scoring_fga_rel,0.0
69,scoring_xpm_rel,0.0
63,scoring_rec_td_rel,0.0
15,kicking_xp_pct_rel,0.0
16,kicking_fgm_rel,0.0
17,kicking_fga_rel,0.0
14,kicking_xpa_rel,0.0
32,punting_punt_yds_rel,0.0
31,punting_punt_rel,0.0
28,passing_pass_yds_per_cmp_rel,0.0
98,passing_pass_yds_imputed,0.0
97,passing_pass_cmp_pct_imputed,0.0
96,passing_pass_att_imputed,0.0
95,passing_pass_cmp_imputed,0.0
94,kicking_fga_imputed,0.0
93,kicking_fgm_imputed,0.0
92,kicking_xp_pct_imputed,0.0
91,kicking_xpa_imputed,0.0
122,receiving_yds_from_scrimmage_imputed,0.0
121,receiving_scrim_att_imputed,0.0
120,receiving_rush_yds_per_g_imputed,0.0
119,receiving_rush_td_imputed,0.0
118,receiving_rush_yds_per_att_imputed,0.0
117,receiving_rush_yds_imputed,0.0
116,receiving_rush_att_imputed,0.0
115,receiving_rec_yds_per_g_imputed,0.0
171,kicking_fga_resid,0.0
168,kicking_xpa_resid,0.0
169,kicking_xp_pct_resid,0.0
170,kicking_fgm_resid,0.0
135,rushing_scrim_att_imputed,0.0
136,rushing_yds_from_scrimmage_imputed,0.0
137,rushing_scrim_yds_per_att_imputed,0.0
138,rushing_scrim_td_imputed,0.0
139,scoring_rush_td_imputed,0.0
140,scoring_rec_td_imputed,0.0
141,scoring_punt_ret_td_imputed,0.0
142,scoring_kick_ret_td_imputed,0.0
143,scoring_fumbles_rec_td_imputed,0.0
144,scoring_def_int_td_imputed,0.0
145,scoring_all_td_imputed,0.0
146,scoring_xpm_imputed,0.0
147,scoring_fga_imputed,0.0
148,scoring_two_pt_md_imputed,0.0
149,scoring_safety_md_imputed,0.0
150,scoring_total_points_imputed,0.0
151,scoring_points_per_game_imputed,0.0
152,scoring_other_td_imputed,0.0
153,career_games_total_imputed,0.0
154,pick_resid,0.0
126,rushing_rush_yds_imputed,0.0
125,rushing_rush_att_imputed,0.0
124,receiving_scrim_td_imputed,0.0
123,receiving_scrim_yds_per_att_imputed,0.0
127,rushing_rush_yds_per_att_imputed,0.0
128,rushing_rush_td_imputed,0.0
129,rushing_rush_yds_per_g_imputed,0.0
130,rushing_rec_imputed,0.0
131,rushing_rec_yds_imputed,0.0
132,rushing_rec_yds_per_rec_imputed,0.0
133,rushing_rec_td_imputed,0.0
134,rushing_rec_yds_per_g_imputed,0.0
216,scoring_rush_td_resid,0.0
231,speed_x_wr,0.0
223,scoring_xpm_resid,0.0
224,scoring_fga_resid,0.0
234,pos_CB,0.0
233,pos_C,0.0
