,Player,Actual_ROI,Pick,Position,Predicted_Probability,Surplus_AV,Expected_AV,Actual_hit
3606,Terrion Arnold,-2.4745213866747946,24,CB,0.21651306748390198,11.630250517371536,19.630250517371536,1
3607,Jordan Morgan,-2.185827235042675,25,RT,0.09241044831772645,10.273388004700571,19.27338800470057,1
3608,Graham Barton,-0.8351762758468211,26,C,0.26274550954500836,3.925328496480059,18.92532849648006,0
3609,Darius Robinson,-3.241292468962925,27,IDL,0.16712570687135062,14.585816110333159,18.58581611033316,1
3610,Xavier Worthy,-1.1423050850600007,28,WR,0.335835595925649,5.254603391276003,18.254603391276003,0
3611,Tyler Guyton,-2.0770816289926186,29,LT,0.23272601266702017,8.931451004668261,17.93145100466826,1
3612,Nate Wiggins,-2.5276493907896365,30,CB,0.221540297071139,10.616127441316475,17.616127441316475,1
3613,Ricky Pearsall,-2.4495812458455624,31,WR,0.2923751374085744,9.308408734213138,17.30840873421314,1
3614,Xavier Legette,-2.144780520575808,32,WR,0.29489632944266003,9.008078186418395,17.008078186418395,1
3615,Keon Coleman,-1.6808606204744785,33,WR,0.18264985581239065,5.714926109613227,16.714926109613227,0
3616,Ladd McConkey,0.4621324785663878,34,WR,0.23596487939357758,-1.5712504271257188,16.42874957287428,0
3617,Ruke Orhorhoro,-3.3831173870802496,35,IDL,0.19740539292494455,10.14935216124075,16.14935216124075,1
3618,Jer'Zhan Newton,-2.863401207633167,36,IDL,0.21257014572620392,8.876543743662818,15.876543743662818,1
3619,Ja'Lynn Polk,-4.870046749979896,37,WR,0.19740539292494455,14.61014024993969,15.61014024993969,1
3620,T'Vondre Sweat,-1.449987818757507,38,IDL,0.13906011233727136,4.349963456272519,15.34996345627252,0
3621,Braden Fiske,-0.3424502434607379,39,IDL,0.3845108151435852,1.0958407790743596,15.09584077907436,0
3622,Cooper DeJean,0.3717402978403637,40,CB,0.24616125226020813,-1.1523949233051276,14.847605076694872,0
3623,Kool-Aid McKinstry,-1.535031486244329,41,CB,0.20913349092006683,4.605094458732989,14.605094458732989,0
3624,Kamari Lassiter,-0.1227173675415862,42,CB,0.2923751374085744,0.3681521026247605,14.36815210262476,0
3625,Max Melton,-3.3788753590692244,43,CB,0.26274550954500836,10.136626077207673,14.136626077207673,1
3626,Jackson Powers-Johnson,-2.636789724325193,44,RG,0.16609727342923483,7.91036917297558,13.91036917297558,1
3627,Edgerrin Cooper,-1.2297462462503317,45,LB,0.2923751374085744,3.689238738750994,13.689238738750994,0
3628,Jonathon Brooks,-4.491032174837806,46,RB,0.0875700544565916,13.47309652451342,13.47309652451342,1
3629,Tyler Nubin,-1.4206028433778943,47,S,0.44343434770901996,4.261808530133685,13.261808530133685,0
3630,Maason Smith,-3.018414953258368,48,IDL,0.18264985581239065,9.055244859775105,13.055244859775105,1
3631,Kris Jenkins,-2.2844265272442263,49,IDL,0.3059123158454895,6.85327958173268,12.85327958173268,0
3632,Mike Sainristil,-0.8852635311637851,50,CB,0.2570810218652089,2.6557905934913553,12.655790593491355,0
3633,Zach Frazier,0.1791135027354163,51,C,0.22202634811401367,-0.5373405082062472,12.462659491793753,0
3634,Adonai Mitchell,-2.424590482505623,52,WR,0.19890983899434408,7.273771447516868,12.273771447516868,1
3635,Ben Sinnott,-3.696338361721926,53,TE,0.3646797736485799,11.089015085165778,12.089015085165778,1
3636,Michael Hall,-2.969427455600146,54,IDL,0.2563380300998688,8.90828236680044,11.90828236680044,1
3637,Patrick Paul,-0.5771561600732564,55,LT,0.06430990186830361,1.7314684802197693,11.73146848021977,0
3638,Marshawn Kneeland,-3.18615724374477,56,ED,0.23375444610913595,9.55847173123431,11.55847173123431,1
3639,Chris Braswell,-3.1297311466220976,57,ED,0.07970635655025642,9.389193439866292,11.389193439866292,1
3640,Javon Bullard,-1.4078459467741151,58,S,0.19740539292494455,4.223537840322344,11.223537840322344,0
3641,Blake Fisher,-1.020470661530305,59,RT,0.061066079108665385,3.061411984590915,11.061411984590915,0
3642,Cole Bishop,-0.6342418831741572,60,S,0.1229750985900561,1.9027256495224716,10.902725649522472,0
3643,Ennis Rakestraw,-3.5824637490855373,61,CB,0.23812455435593924,10.747391247256612,10.747391247256612,1
3644,Roger Rosengarten,2.134892087044729,62,RT,0.12224388867616653,-6.404676261134188,10.595323738865812,0
3645,Kingsley Suamataia,-0.1488135170303266,63,LG,0.1344506045182546,0.4464405510909799,10.44644055109098,0
3646,Renardo Green,-0.766887165349754,64,CB,0.1568374385436376,2.300661496049262,10.300661496049262,0
3647,Malachi Corley,-3.385969564599766,65,WR,0.1982527176539103,10.157908693799298,10.157908693799298,1
3648,Trey Benson,-2.339368832551356,66,RB,0.10323623629907767,7.018106497654069,10.018106497654069,0
3649,Brandon Coleman,0.3729395259546996,67,LT,0.09133426348368327,-1.1188185778641007,9.8811814221359,0
3650,Caedan Wallace,-2.915687357824173,68,LT,0.09856860401729743,8.74706207347252,9.74706207347252,1
3651,Junior Colson,-2.8718930275124115,69,LB,0.25732046365737915,8.615679082537234,9.615679082537234,1
3652,Andru Phillips,-1.16232168004675,70,CB,0.17530785501003265,3.48696504014025,9.48696504014025,0
3653,Isaiah Adams,-0.4536181448606378,71,LG,0.08864407800137997,1.3608544345819116,9.360854434581912,0
3654,Trevin Wallace,-0.412427863794137,72,LB,0.15454916407664618,1.2372835913824112,9.237283591382411,0
3655,Cooper Beebe,0.2946031282981203,73,C,0.1282690024624268,-0.8838093848943593,9.11619061510564,0
3656,Kiran Amegadjie,-2.6270664139236963,75,LT,0.09133426348368327,7.881199241771089,8.881199241771089,1
3657,Jonah Elliss,-1.9223951510805568,76,ED,0.07970635655025642,5.7671854532416695,8.76718545324167,0
3658,Delmar Glaze,0.7815271180724123,77,RT,0.09133426348368327,-2.3445813542172367,8.655418645782763,0
3659,Calen Bullock,1.818051661834828,78,S,0.18840050200621286,-5.454154985504482,8.545845014495518,0
3660,Matt Goncalves,1.1871959252494182,79,LT,0.09585411349932353,-3.5615877757482544,8.438412224251746,0
3661,Jermaine Burton,-2.444356454713598,80,WR,0.15617274741331735,7.333069364140794,8.333069364140794,1
3662,Christian Haynes,-2.0765889678207343,81,RG,0.11466364872952302,6.2297669034622025,8.229766903462203,0
3663,Tip Reiman,-2.709485549735794,82,TE,0.23272601266702017,8.128456649207383,8.128456649207383,1
3664,Blake Corum,-0.0096972349918716,83,RB,0.041042353181789316,0.029091704975614974,8.029091704975615,0
3665,Roman Wilson,-1.9772088104239849,84,WR,0.03812002561365565,5.931626431271955,7.931626431271955,0
3666,Zak Zinter,-2.2786721357122364,85,LG,0.04610654587546984,6.836016407136709,7.836016407136709,0
3667,Dominick Puni,2.419260535647342,86,RG,0.029854328526804846,-7.257781606942026,7.742218393057974,0
3668,Marist Liufau,-0.550063431706918,87,LB,0.16609727342923483,1.6501902951207539,7.650190295120754,0
3669,MarShawn Lloyd,-2.5199637101159937,88,RB,0.10552171431481838,7.559891130347982,7.559891130347982,1
3670,Tykee Smith,0.5095730022698571,89,S,0.1037673285851876,-1.5287190068095713,7.471280993190429,0
3671,Elijah Jones,-2.461440341041389,90,CB,0.1814583937327067,7.384321023124167,7.384321023124167,1
3672,Ty'Ron Hopper,-1.432991124438665,91,LB,0.10975924630959828,4.298973373315995,7.298973373315995,0
3673,Jalen McMillan,-0.0717337267728357,92,WR,0.013063816198458275,0.2152011803185072,7.215201180318507,0
3674,Adisa Isaac,-2.377656178252733,93,ED,0.05982171418145299,7.1329685347582,7.1329685347582,0
3675,Jalyx Hunt,0.6492531823395717,94,ED,0.06573371139044563,-1.9477595470187152,7.052240452981285,0
3676,DeWayne Carter,-1.6576609498744226,95,IDL,0.02688171962896983,4.972982849623268,6.972982849623268,0
