Season,ranker,name_display,player_id,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards
2002,32,Nick Hayes,nick-hayes-1,UAB,CUSA,12,29,29,100.0,17,22,77.3,80,
2002,33,Robbie Gould,robbie-gould-1,Penn State,Big Ten,13,42,45,93.3,17,22,77.3,93,
2002,34,Brian Kelly,brian-kelly-1,Middle Tennessee State,Sun Belt,12,31,32,96.9,10,13,76.9,61,
2002,35,Asen Asparuhov,asen-asparuhov-1,Fresno State,WAC,14,43,43,100.0,23,30,76.7,112,
2002,36,Nick Browne,nick-browne-1,Texas Christian,CUSA,12,36,38,94.7,23,30,76.7,105,
2002,37,Curtis Head,curtis-head-1,Marshall,MAC,13,49,53,92.5,16,21,76.2,97,
2002,38,Josh Scobee,josh-scobee-1,Louisiana Tech,WAC,12,30,35,85.7,16,21,76.2,78,
2002,39,Santiago Gramatica,santiago-gramatica-1,South Florida,Ind,11,35,40,87.5,16,21,76.2,83,
2002,40,Brian Bostick,brian-bostick-1,Alabama,SEC,13,4,5,80.0,6,8,75.0,22,
2002,41,David Carlton,david-carlton-1,Arkansas,SEC,14,28,29,96.6,12,16,75.0,64,
2002,42,J.B. Gibboney,jb-gibboney-1,Pitt,Big East,13,7,10,70.0,3,4,75.0,16,
2002,43,Jeff Babcock,jeff-babcock-1,Colorado State,MWC,14,40,44,90.9,24,32,75.0,112,
2002,44,Joe Rheem,joe-rheem-1,Kansas State,Big 12,11,53,59,89.8,9,12,75.0,80,
2002,45,Jonathan Nichols,jonathan-nichols-1,Ole Miss,SEC,13,40,40,100.0,15,20,75.0,85,
2002,46,Matt Goldstein,matt-goldstein-1,New Mexico,MWC,13,2,3,66.7,3,4,75.0,11,
2002,47,Peter Christofilakos,peter-christofilakos-1,Illinois,Big Ten,12,40,40,100.0,9,12,75.0,67,
2002,48,Scott Campbell,scott-campbell-1,Wisconsin,Big Ten,14,13,14,92.9,3,4,75.0,22,
2002,49,Adam Benike,adam-benike-1,Iowa State,Big 12,14,46,48,95.8,17,23,73.9,97,
2002,50,Dario Aguiniga,dario-aguiniga-1,New Mexico State,Sun Belt,12,32,33,97.0,17,23,73.9,83,
2002,51,Mike Gruzwalski,mike-gruzwalski-1,Central Michigan,MAC,12,27,31,87.1,14,19,73.7,69,
2002,52,Thomas Olmsted,thomas-olmsted-1,Troy,Ind,12,21,24,87.5,11,15,73.3,54,
2002,53,Trey Dicarlo,trey-dicarlo-1,Oklahoma,Big 12,14,58,62,93.5,16,22,72.7,106,
2002,54,Steve Azar,steve-azar-1,Northern Illinois,MAC,12,41,43,95.3,18,25,72.0,95,
2002,55,Sandro Sciortino,sandro-sciortino-1,Boston College,Big East,13,38,40,95.0,23,32,71.9,107,
2002,56,Adam Kiker,adam-kiker-1,North Carolina State,ACC,14,14,16,87.5,5,7,71.4,29,
2002,57,John Gockman,john-gockman-1,Illinois,Big Ten,12,0,0,,5,7,71.4,15,
2002,58,John Corbello,john-corbello-1,LSU,SEC,13,34,34,100.0,17,24,70.8,85,
2002,59,Alex Walls,alex-walls-1,Tennessee,SEC,13,20,23,87.0,12,17,70.6,56,
